uri,prefLabel
https://w3id.org/earthsemantics/OSO#AIMSIR,AIMSIR
https://w3id.org/earthsemantics/OSO#ALBATROSS,ALBATROSS
https://w3id.org/earthsemantics/OSO#ANTARES,ANTARES
https://w3id.org/earthsemantics/OSO#ARDITI,ARDITI
https://w3id.org/earthsemantics/OSO#ARDITILogo,ARDITI logo
https://w3id.org/earthsemantics/OSO#Alan_BERRY,Alan BERRY
https://w3id.org/earthsemantics/OSO#Aljaz_MASLO,Aljaž MASLO
https://w3id.org/earthsemantics/OSO#Antigonia,Antigonia
https://w3id.org/earthsemantics/OSO#Atlantic_Whale_Deal,Atlantic Whale Deal
https://w3id.org/earthsemantics/OSO#AtlanticWhaleDeal_bbox,Atlantic Whale Deal bounding box
https://w3id.org/earthsemantics/OSO#Azores,Azores
https://w3id.org/earthsemantics/OSO#Azores_EMSO_membership,Azores EMSO membership
https://w3id.org/earthsemantics/OSO#Azores_RF_bbox,Azores Regional Facility bounding box
https://w3id.org/earthsemantics/OSO#BB,BB
https://w3id.org/earthsemantics/OSO#BB_Mooring,BB mooring
https://w3id.org/earthsemantics/OSO#BILLION,BILLION
https://w3id.org/earthsemantics/OSO#BJS,BJS
https://w3id.org/earthsemantics/OSO#BJS_BathyBot,BJS BathyBot
https://w3id.org/earthsemantics/OSO#BJS_BathyDock,BJS BathyDock
https://w3id.org/earthsemantics/OSO#BJS_SeabedStation,BJS Seabed Station
https://w3id.org/earthsemantics/OSO#BRGM,BRGM
https://w3id.org/earthsemantics/OSO#BRGMLogo,BRGM logo
https://w3id.org/earthsemantics/OSO#Balearic_Sea,Balearic Sea
https://w3id.org/earthsemantics/OSO#Balearic_Sea_EMSO_membership,Balearic Sea EMSO membership
https://w3id.org/earthsemantics/OSO#Balearic_Sea_RF_geometry,Balearic Sea Regional Facility geometry
https://w3id.org/earthsemantics/OSO#Bay_of_Biscay_Slope,Bay of Biscay canyons
https://w3id.org/earthsemantics/OSO#Billion_mooring,Billion Mooring
https://w3id.org/earthsemantics/OSO#Black_Sea,Black Sea
https://w3id.org/earthsemantics/OSO#Black_Sea_EMSO_membership,Black Sea EMSO membership
https://w3id.org/earthsemantics/OSO#Black_Sea_RF_bbox,Black Sea Regional Facility bounding box
https://w3id.org/earthsemantics/OSO#Boris_MARCAILLOU,Boris MARCAILLOU
https://w3id.org/earthsemantics/OSO#BoundingBox,Bounding Box
https://w3id.org/earthsemantics/OSO#Bénédicte_FERRÉ,Bénédicte FERRÉ
