uri,label
https://w3id.org/earthsemantics/OSO#Azores,Azores
https://w3id.org/earthsemantics/OSO#Azores,Açores
https://w3id.org/earthsemantics/OSO#Balearic_Sea,Balearhavet
https://w3id.org/earthsemantics/OSO#Balearic_Sea,Balearic Sea
https://w3id.org/earthsemantics/OSO#Balearic_Sea,Mar Balear
https://w3id.org/earthsemantics/OSO#Balearic_Sea,Marea Balearelor
https://w3id.org/earthsemantics/OSO#Balearic_Sea,Mer des Baléares
https://w3id.org/earthsemantics/OSO#Balearic_Sea,Βαλεαρίδα Θάλασσα
https://w3id.org/earthsemantics/OSO#Bay_of_Biscay_Slope,Bay of Biscay canyons
https://w3id.org/earthsemantics/OSO#Bay_of_Biscay_Slope,Biscayabuktens canyoner
https://w3id.org/earthsemantics/OSO#Bay_of_Biscay_Slope,Canioanele Golfului Biscaya
https://w3id.org/earthsemantics/OSO#Bay_of_Biscay_Slope,Canyon del golfo di Biscaglia
https://w3id.org/earthsemantics/OSO#Bay_of_Biscay_Slope,Canyons du golfe de Gascogne
https://w3id.org/earthsemantics/OSO#Bay_of_Biscay_Slope,Cañones del golfo de Vizcaya
https://w3id.org/earthsemantics/OSO#Bay_of_Biscay_Slope,Cânions do golfo da Biscaia
https://w3id.org/earthsemantics/OSO#Bay_of_Biscay_Slope,Φαράγγια του Βισκαϊκού Κόλπου
https://w3id.org/earthsemantics/OSO#Black_Sea,Black Sea
https://w3id.org/earthsemantics/OSO#Black_Sea,Mar Negro
https://w3id.org/earthsemantics/OSO#Black_Sea,Mar Nero
https://w3id.org/earthsemantics/OSO#Black_Sea,Marea Neagră
https://w3id.org/earthsemantics/OSO#Black_Sea,Mer Noire
https://w3id.org/earthsemantics/OSO#Black_Sea,Svartehavet
https://w3id.org/earthsemantics/OSO#Black_Sea,Μαύρη Θάλασσα
https://w3id.org/earthsemantics/OSO#Canarias,Canarias
https://w3id.org/earthsemantics/OSO#Canarias,Canárias
https://w3id.org/earthsemantics/OSO#Canarias,Kanariøyene
https://w3id.org/earthsemantics/OSO#Canarias,Κανάρια
https://w3id.org/earthsemantics/OSO#Celtic_Seas,Celtic Seas
https://w3id.org/earthsemantics/OSO#Condor_seamount,Condor Seamount
https://w3id.org/earthsemantics/OSO#Condor_seamount,Condor-sjøfjell
https://w3id.org/earthsemantics/OSO#Condor_seamount,Mont sous-marin Condor
https://w3id.org/earthsemantics/OSO#Condor_seamount,Monte sottomarino Condor
https://w3id.org/earthsemantics/OSO#Condor_seamount,Monte submarino Condor
https://w3id.org/earthsemantics/OSO#Condor_seamount,Muntele submarin Condor
https://w3id.org/earthsemantics/OSO#Condor_seamount,Όρος Κόνδορ
https://w3id.org/earthsemantics/OSO#Cretan_Sea,Cretan Sea
https://w3id.org/earthsemantics/OSO#Cretan_Sea,Kretahavet
https://w3id.org/earthsemantics/OSO#Cretan_Sea,Mar de Creta
https://w3id.org/earthsemantics/OSO#Cretan_Sea,Mare di Creta
https://w3id.org/earthsemantics/OSO#Cretan_Sea,Marea Cretei
https://w3id.org/earthsemantics/OSO#Cretan_Sea,Mer de Crète
https://w3id.org/earthsemantics/OSO#Cretan_Sea,Κρητικό Πέλαγος
https://w3id.org/earthsemantics/OSO#Hellenic_Arc,Hellenic Arc
https://w3id.org/earthsemantics/OSO#Iberian_Margin,Iberian Margin
https://w3id.org/earthsemantics/OSO#Iroise,Iroise
https://w3id.org/earthsemantics/OSO#Ligurian_Sea,Liguriahavet
https://w3id.org/earthsemantics/OSO#Ligurian_Sea,Ligurian Sea
https://w3id.org/earthsemantics/OSO#Ligurian_Sea,Mar Ligure
https://w3id.org/earthsemantics/OSO#Ligurian_Sea,Mar da Ligúria
https://w3id.org/earthsemantics/OSO#Ligurian_Sea,Mar de Liguria
https://w3id.org/earthsemantics/OSO#Ligurian_Sea,Marea Ligurică
https://w3id.org/earthsemantics/OSO#Ligurian_Sea,Mer Ligure
https://w3id.org/earthsemantics/OSO#Ligurian_Sea,Λιγουρική Θάλασσα
https://w3id.org/earthsemantics/OSO#Marmara_Sea,Marmara Denizi
https://w3id.org/earthsemantics/OSO#Marmara_Sea,Marmara Sea
https://w3id.org/earthsemantics/OSO#Mayotte,Mayotte
https://w3id.org/earthsemantics/OSO#New_Caledonia,New Caledonia
https://w3id.org/earthsemantics/OSO#New_Caledonia,Nouvelle-Calédonie
https://w3id.org/earthsemantics/OSO#New_Caledonia,Nova Caledônia
https://w3id.org/earthsemantics/OSO#Nordic_Seas,Nordic Seas
https://w3id.org/earthsemantics/OSO#Porcupine_Abyssal_Plain,Porcupine Abyssal Plain
https://w3id.org/earthsemantics/OSO#South_Adriatic_Sea,Mar Adriático meridional
https://w3id.org/earthsemantics/OSO#South_Adriatic_Sea,Mare Adriatico meridionale
https://w3id.org/earthsemantics/OSO#South_Adriatic_Sea,Marea Adriatică de Sud
https://w3id.org/earthsemantics/OSO#South_Adriatic_Sea,Mer Adriatique méridionale
https://w3id.org/earthsemantics/OSO#South_Adriatic_Sea,South Adriatic Sea
https://w3id.org/earthsemantics/OSO#South_Adriatic_Sea,Sørlige Adriaterhavet
https://w3id.org/earthsemantics/OSO#South_Adriatic_Sea,Νότια Αδριατική Θάλασσα
https://w3id.org/earthsemantics/OSO#Vanuatu_Trench,Fosa Vanuatu
https://w3id.org/earthsemantics/OSO#Vanuatu_Trench,Fosa de Vanuatu
https://w3id.org/earthsemantics/OSO#Vanuatu_Trench,Fossa de Vanuatu
https://w3id.org/earthsemantics/OSO#Vanuatu_Trench,Fossa di Vanuatu
https://w3id.org/earthsemantics/OSO#Vanuatu_Trench,Fosse du Vanuatu
https://w3id.org/earthsemantics/OSO#Vanuatu_Trench,Vanuatu Trench
https://w3id.org/earthsemantics/OSO#Vanuatu_Trench,Vanuatu-gropen
https://w3id.org/earthsemantics/OSO#Vanuatu_Trench,Τάφρος Βανουάτου
https://w3id.org/earthsemantics/OSO#Western_Ionian_Sea,Mar Ionio occidentale
https://w3id.org/earthsemantics/OSO#Western_Ionian_Sea,Mar Jónico occidental
https://w3id.org/earthsemantics/OSO#Western_Ionian_Sea,Mar Jônico ocidental
https://w3id.org/earthsemantics/OSO#Western_Ionian_Sea,Marea Ionică de Vest
https://w3id.org/earthsemantics/OSO#Western_Ionian_Sea,Mer Ionienne occidentale
https://w3id.org/earthsemantics/OSO#Western_Ionian_Sea,Vestlige joniske hav
https://w3id.org/earthsemantics/OSO#Western_Ionian_Sea,Western Ionian Sea
https://w3id.org/earthsemantics/OSO#Western_Ionian_Sea,Δυτική Ιόνια Θάλασσα
https://w3id.org/earthsemantics/OSO#Western_Mediterranean_Sea,Western Mediterranean Sea
