uri,label
https://w3id.org/earthsemantics/OSO#Antigonia,Antigonia
https://w3id.org/earthsemantics/OSO#BB,BB
https://w3id.org/earthsemantics/OSO#BILLION,BILLION
https://w3id.org/earthsemantics/OSO#CONDOR,CONDOR Observatory Site
https://w3id.org/earthsemantics/OSO#CONDOR,CONDOR observasjonssted
https://w3id.org/earthsemantics/OSO#CONDOR,Sit de observare CONDOR
https://w3id.org/earthsemantics/OSO#CONDOR,Site d’observation CONDOR
https://w3id.org/earthsemantics/OSO#CONDOR,Sitio de observación CONDOR
https://w3id.org/earthsemantics/OSO#CONDOR,Sito osservativo CONDOR
https://w3id.org/earthsemantics/OSO#CONDOR,Sítio de observação CONDOR
https://w3id.org/earthsemantics/OSO#CONDOR,Σταθμός Condor
https://w3id.org/earthsemantics/OSO#Calipso,Calipso
https://w3id.org/earthsemantics/OSO#Central_Fram_Strait,Central Fram Strait
https://w3id.org/earthsemantics/OSO#DYFAMED,DYFAMED
https://w3id.org/earthsemantics/OSO#Dione,Dione
https://w3id.org/earthsemantics/OSO#E1M3A,E1M3A
https://w3id.org/earthsemantics/OSO#E2M3A,E2M3A
https://w3id.org/earthsemantics/OSO#ESTOC,ESTOC
https://w3id.org/earthsemantics/OSO#East_of_Gran_Canaria,A est di Gran Canaria
https://w3id.org/earthsemantics/OSO#East_of_Gran_Canaria,A leste de Gran Canaria
https://w3id.org/earthsemantics/OSO#East_of_Gran_Canaria,East of Gran Canaria
https://w3id.org/earthsemantics/OSO#East_of_Gran_Canaria,Est de Gran Canaria
https://w3id.org/earthsemantics/OSO#East_of_Gran_Canaria,Este de Gran Canaria
https://w3id.org/earthsemantics/OSO#East_of_Gran_Canaria,À l’est de Gran Canaria
https://w3id.org/earthsemantics/OSO#East_of_Gran_Canaria,Øst for Gran Canaria
https://w3id.org/earthsemantics/OSO#East_of_Gran_Canaria,Ανατολικά της Μεγάλης Κανάριας
https://w3id.org/earthsemantics/OSO#EuxRo01,EuxRo01
https://w3id.org/earthsemantics/OSO#EuxRo02,EuxRo02
https://w3id.org/earthsemantics/OSO#EuxRo03,EuxRo03
https://w3id.org/earthsemantics/OSO#FF,FF
https://w3id.org/earthsemantics/OSO#Galatea,Galatea
https://w3id.org/earthsemantics/OSO#IbMa-CSV,IbMa-CSV
https://w3id.org/earthsemantics/OSO#IbMa-N,IbMa-N
https://w3id.org/earthsemantics/OSO#IbMaN,IbMa-N
https://w3id.org/earthsemantics/OSO#LION,LION
https://w3id.org/earthsemantics/OSO#LO,LO
https://w3id.org/earthsemantics/OSO#Lampaul_Canyon,Lampaul Canyon
https://w3id.org/earthsemantics/OSO#Lucky_Strike,Lucky Strike
https://w3id.org/earthsemantics/OSO#Marmara,Marmara
https://w3id.org/earthsemantics/OSO#MayotteSite,Mayotte site
https://w3id.org/earthsemantics/OSO#Mohn,Mohn
https://w3id.org/earthsemantics/OSO#Molene,Molenez
https://w3id.org/earthsemantics/OSO#Molene,Molène
https://w3id.org/earthsemantics/OSO#Munida,Munida
https://w3id.org/earthsemantics/OSO#NewHebridesSite,Vanuatu Trench Site
https://w3id.org/earthsemantics/OSO#Nice,Nice
https://w3id.org/earthsemantics/OSO#OBSEA,OBSEA
https://w3id.org/earthsemantics/OSO#PAP_Central_Site,PAP Central Site
https://w3id.org/earthsemantics/OSO#PAP_H4,H4
https://w3id.org/earthsemantics/OSO#PAP_P4,P4
https://w3id.org/earthsemantics/OSO#PYLOS,PYLOS
https://w3id.org/earthsemantics/OSO#Poulmic,Poulmic
https://w3id.org/earthsemantics/OSO#R1,R1
https://w3id.org/earthsemantics/OSO#R2,R2
https://w3id.org/earthsemantics/OSO#R3,R3
https://w3id.org/earthsemantics/OSO#SN-4,SN-4
https://w3id.org/earthsemantics/OSO#SN1,SN1
https://w3id.org/earthsemantics/OSO#SmartBay,SmartBay
https://w3id.org/earthsemantics/OSO#South_Cape,South Cape
https://w3id.org/earthsemantics/OSO#South_Rockall_Trough,Bacino meridionale di Rockall
https://w3id.org/earthsemantics/OSO#South_Rockall_Trough,Cuenca sur de Rockall
https://w3id.org/earthsemantics/OSO#South_Rockall_Trough,Depresiunea sudică Rockall
https://w3id.org/earthsemantics/OSO#South_Rockall_Trough,Fossa sul de Rockall
https://w3id.org/earthsemantics/OSO#South_Rockall_Trough,Fosse sud de Rockall
https://w3id.org/earthsemantics/OSO#South_Rockall_Trough,South Rockall Trough
https://w3id.org/earthsemantics/OSO#South_Rockall_Trough,Sørlige Rockall-renna
https://w3id.org/earthsemantics/OSO#South_Rockall_Trough,Νότιο Rockall Trough
https://w3id.org/earthsemantics/OSO#Station_M,Station M
https://w3id.org/earthsemantics/OSO#Stylaster,Stylaster
https://w3id.org/earthsemantics/OSO#Svinoy,Svinoy
https://w3id.org/earthsemantics/OSO#Svinoy,Svinøy
https://w3id.org/earthsemantics/OSO#W1M3A,W1M3A
