id,ror_display,acronym,country_name,website
https://ror.org/02d439m40,University Mental Health Research Institute,no_lang_code: UMHRI,Greece,https://www.epipsi.gr/
https://ror.org/05m7zw681,Rio Tinto (United Kingdom),,United Kingdom,http://www.riotinto.com/
https://ror.org/03awtex73,Arup Group (United States),,United States,http://www.arup.com/Global_locations/USA.aspx
https://ror.org/04yyp8h20,Pilkington (United Kingdom),,United Kingdom,https://www.pilkington.com/en-GB/uk
https://ror.org/022rkxt86,Trojan Technologies (Canada),,Canada,http://www.trojantechnologies.com/
https://ror.org/037mpqg03,Xstrata (United Kingdom),,United Kingdom,
https://ror.org/050b31k83,Hunter New England Local Health District,,Australia,http://www.hnehealth.nsw.gov.au/Pages/home.aspx
https://ror.org/03ebg0v16,Boys Town,,United States,http://www.boystown.org/
https://ror.org/041b40q78,Olympus (Australia),no_lang_code: OSIS,Australia,https://www.olympus.com.au/
https://ror.org/04jc0r179,UK Coal,,United Kingdom,http://www.ukcoal.com/
https://ror.org/03fs4aq04,Institute of Fundamental Technological Research,"no_lang_code: IPPT, IPPT PAN",Poland,http://www.ippt.pan.pl/en/
https://ror.org/04zgvy449,PSA Peugeot Citroën (France),no_lang_code: PSA,France,http://www.psa-peugeot-citroen.com/en
https://ror.org/037m6e306,Pera (United Kingdom),,United Kingdom,https://www.perainternational.com/
https://ror.org/00f1xkb20,Robosoft (France),,France,http://www.robosoft.com/en/home/
https://ror.org/017ph0934,University of National and World Economy,no_lang_code: UNWE,Bulgaria,http://www.unwe.bg/en
https://ror.org/01ypwfg63,Ecofys (Netherlands),,The Netherlands,http://www.ecofys.com/en/
https://ror.org/053bqv655,STMicroelectronics (Italy),no_lang_code: ST,Italy,http://www2.st.com/content/st_com/en.html
https://ror.org/01nn35n25,Institute of Accelerating Systems and Applications,no_lang_code: IASA,Greece,http://www.iasa.gr/
https://ror.org/04zsytt76,Wise & Munro Learning Research,,The Netherlands,http://www.wisenmunro.org/
https://ror.org/01t0n3b84,Consorzio Pisa Ricerche,,Italy,http://www.cpr.it/
https://ror.org/034fmtr90,empirica - Communication and Technology Research,,Germany,http://empirica.com/
https://ror.org/04d4dxm04,Société de Mathématiques Appliquées et de Sciences Humaines,no_lang_code: SMASH,France,http://www.smash.fr/
https://ror.org/0454vek02,Société Nationale des Chemins de Fer Français (France),no_lang_code: SNCF,France,https://www.sncf.com/en
