uri,prefLabel,definition,altLabel,id
http://vocab.nerc.ac.uk/collection/P07/current/2SJ9MEPG/,tendency_of_atmosphere_mole_concentration_of_hydroxyl_radical_due_to_chemical_production_from_atomic_singlet_oxygen_and_water_vapor,"""Mole concentration"" means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The phrase ""tendency_of_X"" means derivative of X with respect to time. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Chemical production"" means the result of all chemical reactions within the medium (here, atmosphere) that produce a certain amount of the particular species. In chemistry, a ""radical"" is a highly reactive, and therefore short lived, species. The chemical formula for the hydroxyl radical is OH. The chemical formula for atomic_singlet_oxygen is O1D. The chemical formula for water vapor is H2O. Here, the production of hydroxyl radical is equal to 2k[O1D][H2O], i.e., 2 hydroxyl radicals are formed from the reaction of O1D with H2O. For models that do not have O1D as a species, the production of hydroxyl radical may be represented differently but the chemical production should take account of the hydroxyl yield.",,SDN:P07::2SJ9MEPG
http://vocab.nerc.ac.uk/collection/P07/current/CF12N689/,tendency_of_atmosphere_moles_of_butane,"""tendency_of_X"" means derivative of X with respect to time.  The construction ""atmosphere_moles_of_X"" means the total number of moles of X in the entire atmosphere, i.e. summed over the atmospheric column and over the entire globe. The chemical formula for butane is C4H10. Butane is a member of the group of hydrocarbons known as alkanes.  There are standard names for the alkane group as well as for some of the individual species.",,SDN:P07::CF12N689
http://vocab.nerc.ac.uk/collection/P07/current/CFV16A52/,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_crop_harvesting,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. The chemical formula for carbon dioxide is CO2. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Emission"" means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ""Emission"" is a process entirely distinct from ""re-emission"" which is used in some standard names. The definition of ""crop"" is model dependent, for example, some models may include fruit trees, trees grown for timber or other types of agricultural and forestry planting as crops. Crop harvesting means the human activity of collecting plant materials for the purpose of turning them into forestry or agricultural products.",,SDN:P07::CFV16A52
http://vocab.nerc.ac.uk/collection/P07/current/CF14N33/,mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,"Mole concentration' means number of moles per unit volume, also called ""molarity"", and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. Microzooplankton are zooplankton of less than 20 micrometers in size.",,SDN:P07::CF14N33
http://vocab.nerc.ac.uk/collection/P07/current/03FMQBY3/,surface_radioactivity_content_of_77mGe,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Ge"" means the element ""germanium"" and ""77mGe"" is the metastable state of the isotope ""germanium-77"" with a half-life of 6.27e-04 days.",,SDN:P07::03FMQBY3
http://vocab.nerc.ac.uk/collection/P07/current/3RSDQDI5/,atmosphere_mass_content_of_graupel_and_hail,"""Content"" indicates a quantity per unit area. The ""atmosphere content"" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ""content_of_atmosphere_layer"" are used. Graupel consists of heavily rimed snow particles, often called snow pellets; often indistinguishable from very small soft hail except when the size convention that hail must have a diameter greater than 5 mm is adopted. Reference: American Meteorological Society Glossary http://glossary.ametsoc.org/wiki/Graupel. Hail is precipitation in the form of balls or irregular lumps of ice, often restricted by a size convention to diameters of 5 mm or more. Reference: American Meteorological Society Glossary http://glossary.ametsoc.org/wiki/Hail. Standard names for ""graupel_and_hail"" should be used to describe data produced by models that do not distinguish between hail and graupel. For models that do distinguish between them, separate standard names for hail and graupel are available.",,SDN:P07::3RSDQDI5
http://vocab.nerc.ac.uk/collection/P07/current/JBJJJDAB/,tendency_of_atmosphere_mass_content_of_propene_due_to_emission_from_energy_production_and_distribution,"""tendency_of_X"" means derivative of X with respect to time. ""Content"" indicates a quantity per unit area. The ""atmosphere content"" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ""content_of_atmosphere_layer"" are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Emission"" means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth&amp;apos;s surface). ""Emission"" is a process entirely distinct from ""re-emission"" which is used in some standard names. The chemical formula for propene is C3H6. Propene is a member of the group of hydrocarbons known as alkenes. There are standard names for the alkene group as well as for some of the individual species. The ""energy production and distribution"" sector comprises fuel combustion activities related to energy industries and fugitive emissions from fuels. It may also include any not-classified or ""other"" combustion, which is commonly included in energy-related inventory data. ""Energy production and distribution"" is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ""IPCC (Intergovernmental Panel on Climate Change) source categories 1A1 and 1B as defined in the 2006 IPCC guidelines for national greenhouse gas inventories"".",,SDN:P07::JBJJJDAB
http://vocab.nerc.ac.uk/collection/P07/current/CF12N162/,atmosphere_moles_of_nitrate_radical,"The construction ""atmosphere_moles_of_X"" means the total number of moles of X in the entire atmosphere, i.e. summed over the atmospheric column and over the entire globe. In chemistry, a ""radical"" is a highly reactive, and therefore short lived, species.",,SDN:P07::CF12N162
http://vocab.nerc.ac.uk/collection/P07/current/TGJ2HA3H/,surface_radioactivity_content_of_136Cs,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cs"" means the element ""cesium"" and ""136Cs"" is the isotope ""cesium-136"" with a half-life of 1.30e+01 days.",,SDN:P07::TGJ2HA3H
http://vocab.nerc.ac.uk/collection/P07/current/LZQWGJU1/,radioactivity_concentration_of_135mCs_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Cs"" means the element ""cesium"" and ""135mCs"" is the metastable state of the isotope ""cesium-135"" with a half-life of 3.68e-02 days.",,SDN:P07::LZQWGJU1
